POS,CLUB,PTS,PJ,PG,PE,PP,GF,GC,DIF
1,Universidad Católica,27,10,9,0,1,15,5,10
2,Universidad de Chile,21,10,7,0,3,17,15,2
3,U. de Concepción,20,10,6,2,2,15,11,4
4,Colo Colo,19,10,6,1,3,16,11,5
5,Deportes Antofagasta,18,10,5,3,2,16,13,3
6,Unión La Calera,16,10,5,1,4,15,12,3
7,Huachipato,15,10,4,3,3,15,9,6
8,Unión Española,15,10,4,3,3,17,16,1
9,O'Higgins,14,10,4,2,4,16,12,4
10,Palestino,12,10,3,3,4,14,15,-1
11,Deportes Iquique,10,10,3,1,6,12,13,-1
12,San Luis,9,10,2,3,5,5,13,-8
13,Curicó Unido,8,10,1,5,4,15,17,-2
14,Deportes Temuco,7,10,1,4,5,7,16,-9
15,Audax Italiano,6,10,1,3,6,10,18,-8
16,Everton,6,10,2,0,8,8,17,-9
